Acronym/Jargon,What does it stand for?,Explanation
CLI,Call Line Identification,A service available in digital phone networks that tells the person being called which number is calling them. 
CLID,Calling line identification,"Caller ID (caller identification, CID), also called calling line identification (CLID or CLI) or calling number identification (CNID), is a telephone service, available in analog and digital phone systems and most Voice over Internet Protocol (VoIP) appli"
Client,,"The ""in"" name for a PC on a Local Area Network that used to be called a ""workstation"". A ""client"" is an object that uses the resources of another object-hend the PC is the ""client"" of the network server or host. "
Client,,Client can also refer to a type of application
Client Application,,Any computer program that uses the resources of another program 
Client/Server Computing,,The division of an application into two parts
CLIP,Calling Line Identity Presentation ,
CLIR,Calling Line Identity Restriction ,
CLNP,Connectionless Network Protocol,OSI network layer protocol that does not require a circuit to be established before data is transmitted. 
CLNS,Connectionless Network Service,OSI network layer service that does not require a circuit to be established before data is transmitted. CLNS routes messages to their destinations independently of any other messages. 
Clock,,Common term for the sources of timing signals used in synchronous transmission. More generally the sources of timing signals sequencing electronic events. 
Clone,,"Once the name for IBM ""compatible"""
Closed Date,,Ticket closed date & time
Cloud,Cloud,"The delivery of computing as a shared service - information is provided to computers and other mobile devices over a shared infrastructure, such as a network"
Cluster Controller,,An intelligent device that provides the connections for a cluster of terminals to a data link. 
CM,Configuration Management,In fibre-distributed data interface FDDI
CMC,Customer Management Centre ,
CMDB,Configuration Management Database ,
CMDB,Configuration Management Database ,
CMDB,Configuration Management Database ,"methods of storing customers infrastructure, services provided and sites in operation for greater accuracy in report availability and accurately recording incidents information. Version control allows multiple CMDB's per customer to describe the business estate for the customer at various time throughout their contract."
CMET,Customers Main Earthing Terminal ,
CMIP,Common Management Information Protocol,
CMIS,Common Management Information Services,Network management protocol. 
CMM,Capability Maturity Model ,
CMR,Cellular Mobile Radio ,
CMRR,Common Mode Rejection Ratio,The input-to-output ratio of the interference voltage of a circuit used to measure noise rejection performance. 
CMS,Contractor Management System,
CN,Core Network,
CNAE,Customer Network Access Equipment ,
CNET,Centre National d'Etudes des Telecommunications ,national Study Centre for Telecommunications
CNID,Calling number identification,"Caller ID (caller identification, CID), also called calling line identification (CLID or CLI) or calling number identification (CNID), is a telephone service, available in analog and digital phone systems and most Voice over Internet Protocol (VoIP) appli"
CNM,Customer Network Management ,
CO,Central Office,
Coaxial Cable,,Cable consisting of a hollow outer cylindrical conductor that surrounds a single inner wire conductor. 
COB,Close Of Business,"a term used to indicate that deadline normally for certain tasks i.e. ""I want it by COB Friday"""
COB,CLOSE OF BUSINESS,
CoC,Certificate of Conformance ,
CoDec,Coder/Decoder,Integrated circuit device that typically uses pulse code modulation to transform analogue signals into a digital bit stream and digital signals back into analogue signals. 
COF,CENTRAL ORDER FULFILMENT,
Collapsed Backbone,,Nondistributed backbone in which all network segments are interconnected by way of an internetworking device. A collapsed backbone might be a virtual network segment existing in a device such as a hub
CoLo,"Co-Location, usually sites which we share with 3rd party companies",
COLT,City of London Telecommunications ,
COM,Crystal Order Management,
COM,Crystal Order Management,
COM,Component Object Model,a binary-interface standard for software components introduced by Microsoft in 1993. It is used to enable inter-process communication and dynamic object creation in a large range of programming languages.
COM Port,,A serial communication port on a PC system 
Commercial Change,Commercial Change,
Common Prefix Call,,A call where the value of the prefixes in the calling and called addresses are the same. Common prefix calls use the short addressing procedures. 
Communication Controller,,Also known as a Front End Processor. Usually a non-programmable peripheral device used to remove the burden of routing and controlling communications traffic from the mainframe. 
Communications Act,,Communications Act 2003
Comparative Questions,,Comparative Questions can be used during the Assessment of Alternatives stage of the Buying Cycle. They are used to help a customer compare or rank alternative Value Criteria. 
Compiled/Executable Code,,Code that is pre compiled into a single executable file prior to running i.e.. VisualBasic.Net code.
Compression,,The running of a data set through an algorithm that reduces the space required to store or the bandwidth required to transmit the data set. 
